SchoolName,FullName
Air Force,United States Air Force Academy
Akron,University of Akron Main Campus
Alabama,The University of Alabama
Alabama at Birmingham,University of Alabama at Birmingham
Appalachian State,Appalachian State University
Arizona,University of Arizona
Arizona State,Arizona State University-Tempe
Arkansas,University of Arkansas
Arkansas State,Arkansas State University-Main Campus
Army,United States Military Academy
Auburn,Auburn University
Ball State,Ball State University
Boise State,Boise State University
Boston College,Boston College
Bowling Green,Bowling Green State University-Main Campus
Buffalo,University at Buffalo
California,University of California-Berkeley
Central Florida,University of Central Florida
Central Michigan,Central Michigan University
Charlotte,University of North Carolina at Charlotte
Cincinnati,University of Cincinnati-Main Campus
Clemson,Clemson University
Coastal Carolina,Coastal Carolina University
Colorado,University of Colorado Boulder
Colorado State,Colorado State University-Fort Collins
Connecticut,University of Connecticut
Duke,Duke University
East Carolina,East Carolina University
Eastern Michigan,Eastern Michigan University
Florida,University of Florida
Florida Atlantic,Florida Atlantic University
Florida International,Florida International University
Florida State,Florida State University
Fresno State,California State University-Fresno
Georgia,University of Georgia
Georgia Southern,Georgia Southern University
Georgia State,Georgia State University
Georgia Tech,Georgia Institute of Technology-Main Campus
Hawaii,University of Hawaii at Manoa
Houston,University of Houston
Illinois,University of Illinois at Urbana-Champaign
Indiana,Indiana University-Bloomington
Iowa,University of Iowa
Iowa State,Iowa State University
Kansas,University of Kansas
Kansas State,Kansas State University
Kent State,Kent State University at Kent
Kentucky,University of Kentucky
Liberty,Liberty University
Louisiana Tech,Louisiana Tech University
Louisiana-Lafayette,University of Louisiana at Lafayette
Louisiana-Monroe,University of Louisiana at Monroe
Louisville,University of Louisville
LSU,Louisiana State University and Agricultural & Mechanical College
Marshall,Marshall University
Maryland,University of Maryland-College Park
Massachusetts,University of Massachusetts-Amherst
Memphis,University of Memphis
Miami (Fla.),University of Miami
Miami (Ohio),Miami University-Oxford
Michigan,University of Michigan-Ann Arbor
Michigan State,Michigan State University
Middle Tennessee,Middle Tennessee State University
Minnesota,University of Minnesota-Twin Cities
Mississippi,University of Mississippi
Mississippi State,Mississippi State University
Missouri,University of Missouri-Columbia
Navy,United States Naval Academy
Nebraska,University of Nebraska-Lincoln
Nevada,University of Nevada-Reno
Nevada-Las Vegas,University of Nevada-Las Vegas
New Mexico,University of New Mexico-Main Campus
New Mexico State,New Mexico State University-Main Campus
North Carolina,University of North Carolina at Chapel Hill
North Carolina State,North Carolina State University at Raleigh
North Texas,University of North Texas
Northern Illinois,Northern Illinois University
Northwestern,Northwestern University
Notre Dame,University of Notre Dame
Ohio,Ohio University-Main Campus
Ohio State,Ohio State University-Main Campus
Oklahoma,University of Oklahoma-Norman Campus
Oklahoma State,Oklahoma State University-Main Campus
Old Dominion,Old Dominion University
Oregon,University of Oregon
Oregon State,Oregon State University
Penn State,Pennsylvania State University-Main Campus
Pittsburgh,University of Pittsburgh-Pittsburgh Campus
Purdue,Purdue University-Main Campus
Rutgers,Rutgers University-New Brunswick
San Diego State,San Diego State University
San Jose State,San Jose State University
South Alabama,University of South Alabama
South Carolina,University of South Carolina-Columbia
South Florida,University of South Florida-Main Campus
Southern California,University of Southern California
Southern Mississippi,University of Southern Mississippi
Stanford,Stanford University
Syracuse,Syracuse University
Tennessee,The University of Tennessee-Knoxville
Texas,The University of Texas at Austin
Texas A&M,Texas A & M University-College Station
Texas Christian,Texas Christian University
Texas State,Texas State University
Texas Tech,Texas Tech University
Texas-El Paso,The University of Texas at El Paso
Texas-San Antonio,The University of Texas at San Antonio
Toledo,University of Toledo
Troy,Troy University
Tulane,Tulane University of Louisiana
Tulsa,University of Tulsa
UCLA,University of Southern California
Utah,University of Utah
Utah State,Utah State University
Vanderbilt,Vanderbilt University
Virginia,University of Virginia-Main Campus
Virginia Tech,Virginia Polytechnic Institute and State University
Wake Forest,Wake Forest University
Washington,University of Washington-Seattle Campus
Washington State,Washington State University
West Virginia,West Virginia University
Western Kentucky,Western Kentucky University
Western Michigan,Western Michigan University
Wisconsin,University of Wisconsin-Madison
Wyoming,University of Wyoming