Rk,School,W,L,Pct,Off Pts,Def Pts
84,Air Force,11,2,0.846,34.1,19.8
76,Akron,0,12,0,10.5,36.3
115,Alabama,11,2,0.846,47.2,18.6
121,Appalachian State,13,1,0.929,38.8,20
106,Arizona,4,8,0.333,26.9,35.8
103,Arizona State,8,5,0.615,24.8,22.4
120,Arkansas,2,10,0.167,21.4,36.8
127,Arkansas State,8,5,0.615,33.7,34.2
69,Army,5,8,0.385,28.5,23
116,Auburn,9,4,0.692,33.2,19.5
79,Ball State,5,7,0.417,34.8,31.4
28,Baylor,11,3,0.786,33.6,19.8
83,Boise State,12,2,0.857,34.7,21.9
4,Boston College,6,7,0.462,29,32.2
75,Bowling Green,3,9,0.25,16,38.6
72,Buffalo,8,5,0.615,31.5,21.3
68,BYU,7,6,0.538,28.5,25.5
96,California,8,5,0.615,21.2,21.9
77,Central Michigan,8,6,0.571,30.4,28.3
54,Charlotte,7,6,0.538,29.8,32.4
15,Cincinnati,11,3,0.786,29.6,20.6
1,Clemson,14,1,0.933,43.9,13.5
125,Coastal Carolina,5,7,0.417,30.3,30.5
105,Colorado,5,7,0.417,23.5,31.8
87,Colorado State,4,8,0.333,28.1,31.2
20,Connecticut,2,10,0.167,18.9,40.5
13,Duke,5,7,0.417,25.3,29.2
19,East Carolina,4,8,0.333,26.8,33.7
82,Eastern Michigan,6,7,0.462,29.2,30.6
107,Florida,11,2,0.846,33.2,15.5
51,Florida Atlantic,11,3,0.786,36.4,22.7
55,Florida International,6,7,0.462,26.5,27.2
5,Florida State,6,7,0.462,27.9,27.8
93,Fresno State,4,8,0.333,30,30.1
108,Georgia,12,2,0.857,30.8,12.6
122,Georgia Southern,7,6,0.538,28.2,28.2
123,Georgia State,7,6,0.538,31.2,36.2
14,Georgia Tech,3,9,0.25,16.7,32.4
90,Hawaii,10,5,0.667,33.9,31.9
25,Houston,4,8,0.333,30.7,34
47,Illinois,6,7,0.462,26.7,26.2
40,Indiana,8,5,0.615,31.8,24.4
46,Iowa,10,3,0.769,25.8,14
32,Iowa State,7,6,0.538,32.2,25.9
36,Kansas,3,9,0.25,23.5,36.1
29,Kansas State,8,5,0.615,29.6,21.4
73,Kent State,7,6,0.538,29.2,31.8
110,Kentucky,8,5,0.615,27.2,19.3
65,Liberty,8,5,0.615,32.8,28.1
126,Louisiana,11,3,0.786,37.9,19.7
58,Louisiana Tech,10,3,0.769,32.5,21.8
128,Louisiana-Monroe,5,7,0.417,31.6,38.7
2,Louisville,8,5,0.615,33.1,33.4
114,LSU,15,0,1,48.4,21.9
52,Marshall,8,5,0.615,25.8,25
42,Maryland,3,9,0.25,25.3,34.7
67,Massachusetts,1,11,0.083,19.8,52.7
21,Memphis,12,2,0.857,40.4,26.4
8,Miami (Fla.),6,7,0.462,25.7,20.2
71,Miami (Ohio),8,6,0.571,24.1,28.1
39,Michigan,9,4,0.692,31.7,20.7
41,Michigan State,7,6,0.538,22.4,22.5
56,Middle Tennessee,4,8,0.333,26.3,29.9
44,Minnesota,11,2,0.846,34.1,22.5
118,Mississippi State,6,7,0.462,27.6,28.8
111,Missouri,6,6,0.5,25.3,19.4
22,Navy,11,2,0.846,37.2,22.3
48,Nebraska,5,7,0.417,28,27.8
91,Nevada,7,6,0.538,21.3,31.9
94,Nevada-Las Vegas,4,8,0.333,24.2,33
88,New Mexico,2,10,0.167,22.3,37.2
66,New Mexico State,2,10,0.167,21.7,41
12,North Carolina,7,6,0.538,33.1,23.7
7,North Carolina State,4,8,0.333,22.1,30.1
61,North Texas,4,8,0.333,30.6,32.5
80,Northern Illinois,5,7,0.417,22.8,28.2
50,Northwestern,3,9,0.25,16.3,23.6
70,Notre Dame,11,2,0.846,36.8,17.9
74,Ohio,7,6,0.538,34.3,26.5
37,Ohio State,13,1,0.929,46.9,13.7
27,Oklahoma,12,2,0.857,42.1,27.3
30,Oklahoma State,8,5,0.615,32.5,26.8
57,Old Dominion,1,11,0.083,16.3,29.8
119,Ole Miss,4,8,0.333,26.6,26.5
95,Oregon,12,2,0.857,35.4,16.5
98,Oregon State,5,7,0.417,31.2,32.5
38,Penn State,11,2,0.846,35.8,16
11,Pittsburgh,8,5,0.615,21.2,22.5
49,Purdue,4,8,0.333,25.8,30.6
63,Rice,3,9,0.25,17.9,25.9
43,Rutgers,2,10,0.167,13.3,36.7
89,San Diego State,10,3,0.769,21.2,12.7
92,San Jose State,5,7,0.417,30.1,31.9
23,SMU,10,3,0.769,41.8,33.4
130,South Alabama,2,10,0.167,18.4,30.7
112,South Carolina,4,8,0.333,22.4,26.1
18,South Florida,4,8,0.333,20.8,28.9
60,Southern Mississippi,7,6,0.538,26.6,26.2
100,Stanford,4,8,0.333,21.7,29.8
6,Syracuse,5,7,0.417,28.3,30.7
17,Temple,8,5,0.615,26.3,25.9
109,Tennessee,8,5,0.615,24.2,21.7
31,Texas,8,5,0.615,35.2,27.5
117,Texas A&M,8,5,0.615,29.5,22.5
33,Texas Christian,5,7,0.417,30.3,26.4
129,Texas State,3,9,0.25,18.4,32.6
35,Texas Tech,4,8,0.333,30.5,30.3
81,Toledo,6,6,0.5,27.3,32.2
124,Troy,5,7,0.417,33.8,34.8
24,Tulane,7,6,0.538,33.1,26.3
26,Tulsa,4,8,0.333,26.4,31.3
59,Alabama at Birmingham,9,5,0.643,23.1,21.6
16,Central Florida,10,3,0.769,43.4,23
104,UCLA,4,8,0.333,26.7,34.8
102,Southern California,8,5,0.615,32.5,29.4
101,Utah,11,3,0.786,32.3,15
85,Utah State,7,6,0.538,29.2,30.7
64,Texas-El Paso,1,11,0.083,19.6,35.9
62,Texas-San Antonio,4,8,0.333,20.3,33.9
113,Vanderbilt,3,9,0.25,16.5,31.8
9,Virginia,9,5,0.643,32.1,27.1
10,Virginia Tech,8,5,0.615,30.8,24.7
3,Wake Forest,8,5,0.615,31.8,29.1
97,Washington,8,5,0.615,32,19.4
99,Washington State,6,7,0.462,37.8,31.4
34,West Virginia,5,7,0.417,20.6,28.8
53,Western Kentucky,9,4,0.692,25.4,20.1
78,Western Michigan,7,6,0.538,33.1,25.9
45,Wisconsin,10,4,0.714,34.1,16.9
86,Wyoming,8,5,0.615,25.4,17.8